店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
CCC Cheese Cheers Cafe 函館店,050-5488-3871, ,北海道,函館市本町,8-11,シャインズプラスビル1F,https://ha33500.gorp.jp/,True
焼肉物語 牛若 本店,050-5486-8386, ,北海道,函館市本町,10-9, ,https://h911902.gorp.jp/,True
いか太郎 朝市プレジデント店,050-5488-5924, ,北海道,函館市若松町,9-10, ,https://h205807.gorp.jp/,True
寿司とYシャツとお肉 あるて,050-5488-3306, ,北海道,函館市梁川町,18-18, ,https://ha30900.gorp.jp/,True
マッタリーナカフェ,050-5488-8652, ,北海道,函館市石川町,52-16, ,https://ha3j919.gorp.jp/,True
函館炭火焼肉・ホルモン市場 愛,050-5484-8867, ,北海道,函館市花園町,1-13, ,https://horumonichiba-ai.gorp.jp/,True
朝市 炉端 五聚富,050-5488-7118, ,北海道,函館市若松町,11-16, ,https://ha3e700.gorp.jp/,True
restaurant Toui(レストラントウイ),050-5488-9515,restaurant-toui@kki.biglobe.ne.jp,北海道,函館市若松町,32-19,ロイヤルシティ参番館若松町1F,https://h848900.gorp.jp/,True
すし蔵,050-5484-7654, ,北海道,函館市本町,4-21, ,https://sushikura-hakodate.gorp.jp/,True
居酒屋 あーさん,050-5485-7698, ,北海道,函館市杉並町,6-6, ,https://asan.gorp.jp/,True
炭火焼肉 泉味亭,050-5486-0658, ,北海道,函館市鍛治,1-49-6, ,https://izumitei.gorp.jp/,True
うなぎ 川魚  和食 鯉之助,050-5485-3252, ,北海道,函館市本町,32-11, ,https://unagi-koinosuke.gorp.jp/,True
いか太郎 2号店,050-5488-5918, ,北海道,函館市松風町,7-1, ,https://h205806.gorp.jp/,True
串バル otori,050-5487-6402, ,北海道,函館市本町,32-12, ,https://kashibarotori.gorp.jp/,True
黒牛・黒豚しゃぶしゃぶ ちり家,050-5486-3551, ,北海道,函館市鍛治,1-45-11, ,https://chiriya.gorp.jp/,True
うなぎ 川魚  和食 鯉之助,050-5485-3252, ,北海道,函館市本町,32-11, ,https://unagi-koinosuke.gorp.jp/,True
炭火割烹 菊川,050-5484-5838, ,北海道,函館市五稜郭町,32-19,久米センタービル1F,https://h907800.gorp.jp/,True
大衆食堂 広州Greco,050-5489-2366, ,北海道,函館市本町,4-19, ,https://h228409.gorp.jp/,True
さかえ寿し 高砂通り店,050-5487-9910, ,北海道,函館市松風町,20-5, ,https://ha2d500.gorp.jp/,True
クラフトビールレストラン Endeavour,050-5488-6067, ,北海道,函館市湯川町,1-26-24, ,https://ha3c600.gorp.jp/,True
Hakodate Dining 備後屋,050-5487-3862, ,北海道,函館市本町,28-15,備後屋ビル,https://urabingoya.gorp.jp/,True
尾木カリー,050-5492-2194, ,北海道,函館市末広町,14-3, ,https://ha45300.gorp.jp/,True
すし蔵,050-5484-7654, ,北海道,函館市本町,4-21, ,https://sushikura-hakodate.gorp.jp/,True
楽膳 美和邸,0138-76-0034, ,北海道,函館市美原,3-28-38, ,https://ha0b500.gorp.jp/,True
あっとほーむ だいにんぐ TAKEDA屋,050-5484-4707, ,北海道,函館市富岡町,2-49-24, ,https://athomediningtakedaya.gorp.jp/,True
粉もん屋 とん平 函館駅前店,050-5492-2034, ,北海道,函館市若松町,19-3, ,https://ha3t200.gorp.jp/,True
レストラン 唐草館,050-5492-6688,madame@karakusakan.com,北海道,函館市青柳町,21-23, ,https://h849700.gorp.jp/,True
天ぷら 天八 本店,050-5485-4420, ,北海道,函館市本町,34-3, ,https://h930600.gorp.jp/,True
ヤン衆漁場 二代目,050-5484-5912,info@shoueimaru.jp,北海道,函館市松風町,10-3, ,https://shoeimaru-yanshugyoba-hakodate.gorp.jp/,True
海鮮処 函館 夜市,050-5487-4369, ,北海道,函館市本町,2-12, ,https://hakodate-yaichi.gorp.jp/,True
やきとり 大勝,050-5485-0693, ,北海道,函館市白鳥町,14-13,メゾンアスカ1F,https://hakodate-taisho.gorp.jp/,True
